,Grade,School,Campus,Availability,Q2_1_3,Q2_1_4,Q2_1_5,Q2_1_6,Q2_1_7,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_3_1,Q2_3_2,Q2_3_3,Q2_3_4,Q2_3_5,Q2_3_6,Q2_3_7,Q2_4_1,Q2_4_2,Q2_4_3,Q2_4_4,Q2_4_5,Q2_4_6,Q2_4_7,Q2_5_1,Q2_5_2,Q2_5_3,Q2_5_4,Q2_5_5,Q2_5_6,Q2_5_7,Q2_6_1,Q2_6_2,Q2_6_3,Q2_6_4,Q2_6_5,Q2_6_6,Q2_6_7,Q2_7_1,Q2_7_2,Q2_7_3,Q2_7_4,Q2_7_5,Q2_7_6,Q2_7_7,Q2_8_1,Q2_8_2,Q2_8_3,Q2_8_4,Q2_8_5,Q2_8_6,Q2_8_7,Q2_9_1,Q2_9_2,Q2_9_3,Q2_9_4,Q2_9_5,Q2_9_6,Q2_9_7,Q2_10_1,Q2_10_2,Q2_10_3,Q2_10_4,Q2_10_5,Q2_10_6,Q2_10_7,Q2_11_1,Q2_11_2,Q2_11_3,Q2_11_4,Q2_11_5,Q2_11_6,Q2_11_7,Q2_12_1,Q2_12_2,Q2_12_3,Q2_12_4,Q2_12_5,Q2_12_6,Q2_12_7,Q2_13_1,Q2_13_2,Q2_13_3,Q2_13_4,Q2_13_5,Q2_13_6,Q2_13_7,Q2_14_1,Q2_14_2,Q2_14_3,Q2_14_4,Q2_14_5,Q2_14_6,Q2_14_7,prob,School_demo,Demographic,StudentID,sort_ind
0,1,7,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0.827280711292405,7,171,002913158,0
1,1,6,9,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0.6302657553981372,0,109,002505828,0
2,1,6,5,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0.8547355776695871,0,105,002159146,0
3,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.9622478486210077,1,111,002778015,0
4,1,7,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.8547650378516441,7,171,002141408,0
5,1,1,4,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0.6535070182319919,0,104,002036346,0
6,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.1443256258444896,2,121,002290814,0
7,1,6,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0.7703148899249501,6,161,002884516,0
8,1,4,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0.3543334825146533,4,141,002089351,0
9,2,8,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0.5380844835427967,8,281,002613831,0
